년도,역사명,유지기준,유지기준,유지기준,유지기준
년도,역사명,PM10,CO2,HCHO,CO
년도,역사명,(㎍/㎥),(ppm),(㎍/㎥),(ppm)
년도,역사명,140이하,1000이하,100이하,9이하
2016,전체 평균,84.1,561.5,12.9,0.9
2015,전체 평균,90.65,555.59,11.9,0.87
2014,전체 평균,90.36,569.45,18.91,1.05
2013,전체 평균,91,534,18.7,1
2012,전체 평균,90.2,522.3,18.8,1
2011,전체 평균,92.5,514.37,13.83,0.93
2010,전체 평균,92.16,507.79,17.02,0.71
2009,전체 평균,96.37,500.1,15.7,0.84
2008,전체 평균,95.17,511.67,15.46,0.82
2007,전체 평균,112.23,559.09,14.43,0.82
2006,전체 평균,113.12,566.38,13.83,0.91
2005,전체 평균,115.36,553.3,14.72,0.87
