기간,대분류,분류,대중교통 이용만족도,버스,지하철,택시
2011,서울시,서울시,6.23,6.28,6.79,5.61
2011,성별,남자,6.22,6.26,6.76,5.65
2011,성별,여자,6.23,6.31,6.82,5.58
2011,연령별,10대,6.11,6.26,6.73,5.35
2011,연령별,20대,6.18,6.23,6.77,5.52
2011,연령별,30대,6.16,6.15,6.75,5.59
2011,연령별,40대,6.22,6.26,6.8,5.61
2011,연령별,50대,6.28,6.37,6.8,5.67
2011,연령별,60대 이상,6.36,6.44,6.85,5.78
2011,학력별,중졸 이하,6.29,6.37,6.78,5.72
2011,학력별,고졸 이하,6.23,6.3,6.78,5.59
2011,학력별,대졸 이하,6.22,6.25,6.81,5.61
2011,학력별,대학원 이상,6.02,6.07,6.55,5.44
2011,소득별,100 만원 미만,6.33,6.5,6.78,5.71
2011,소득별,100-200만 미만,6.2,6.31,6.75,5.54
2011,소득별,200-300만 미만,6.18,6.24,6.75,5.56
2011,소득별,300-400만 미만,6.17,6.15,6.77,5.59
2011,소득별,400-500만 미만,6.27,6.28,6.83,5.68
2011,소득별,500만 이상,6.29,6.4,6.82,5.64
2011,혼인상태별,기혼,6.26,6.3,6.81,5.67
2011,혼인상태별,미혼,6.15,6.26,6.76,5.44
2011,혼인상태별,이혼/별거,6.28,6.35,6.75,5.73
2011,혼인상태별,사별,6.23,6.26,6.74,5.7
2011,지역대분류,도심권,6.12,6.4,6.66,5.31
2011,지역대분류,동북권,6.15,6.13,6.76,5.57
2011,지역대분류,서북권,6.08,6.27,6.76,5.21
2011,지역대분류,서남권,6.24,6.24,6.75,5.72
2011,지역대분류,동남권,6.44,6.57,6.94,5.83
2011,종로구,종로구,5.96,6.3,6.58,5.01
2011,중구,중구,6.04,6.33,6.49,5.3
2011,용산구,용산구,6.27,6.5,6.8,5.52
2011,성동구,성동구,6.13,6.26,7.08,5.06
2011,광진구,광진구,6.09,6.12,6.81,5.34
2011,동대문구,동대문구,6.3,6.3,6.84,5.77
2011,중랑구,중랑구,6.12,6,6.47,5.91
2011,성북구,성북구,6.35,6.54,7.02,5.47
2011,강북구,강북구,6.16,6.18,6.65,5.63
2011,도봉구,도봉구,5.66,5.28,6.19,5.51
2011,노원구,노원구,6.29,6.24,6.93,5.7
2011,은평구,은평구,6.22,6.48,7.1,5.07
2011,서대문구,서대문구,5.64,5.7,5.97,5.26
2011,마포구,마포구,6.26,6.47,6.98,5.34
2011,양천구,양천구,6.25,6.23,6.6,5.91
2011,강서구,강서구,5.63,5.59,6.42,4.88
2011,구로구,구로구,6.5,6.51,6.96,6.03
2011,금천구,금천구,6.45,6.7,6.95,5.69
2011,영등포구,영등포구,6.52,6.52,7.14,5.9
2011,동작구,동작구,6.22,6.05,6.68,5.92
2011,관악구,관악구,6.36,6.42,6.75,5.91
2011,서초구,서초구,6.59,6.73,7.17,5.86
2011,강남구,강남구,6.6,6.68,7.16,5.95
2011,송파구,송파구,6.32,6.58,6.61,5.78
2011,강동구,강동구,6.31,6.27,6.93,5.71
2012,서울시,서울시,6.31,6.58,6.81,5.54
2012,성별,남자,6.32,6.56,6.83,5.56
2012,성별,여자,6.31,6.59,6.8,5.52
2012,연령별,10대,6.16,6.5,6.62,5.27
2012,연령별,20대,6.3,6.62,6.89,5.38
2012,연령별,30대,6.32,6.55,6.81,5.6
2012,연령별,40대,6.27,6.52,6.8,5.49
2012,연령별,50대,6.36,6.61,6.84,5.63
2012,연령별,60대 이상,6.37,6.63,6.8,5.66
2012,학력별,중졸 이하,6.22,6.51,6.67,5.43
2012,학력별,고졸 이하,6.37,6.66,6.9,5.55
2012,학력별,대졸 이하,6.31,6.55,6.82,5.57
2012,학력별,대학원 이상,6.09,6.17,6.58,5.52
2012,소득별,100 만원 미만,6.4,6.65,6.66,5.76
2012,소득별,100-200만 미만,6.4,6.75,6.9,5.54
2012,소득별,200-300만 미만,6.38,6.67,6.88,5.56
2012,소득별,300-400만 미만,6.26,6.55,6.75,5.48
2012,소득별,400-500만 미만,6.35,6.58,6.85,5.62
2012,소득별,500만 이상,6.25,6.49,6.78,5.49
2012,혼인상태별,기혼,6.33,6.57,6.84,5.59
2012,혼인상태별,미혼,6.28,6.61,6.8,5.43
2012,혼인상태별,이혼/별거,6.32,6.68,6.8,5.46
2012,혼인상태별,사별,6.23,6.43,6.59,5.62
2012,지역대분류,도심권,6.36,6.85,7.01,5.21
2012,지역대분류,동북권,6.11,6.34,6.67,5.33
2012,지역대분류,서북권,6.2,6.29,6.79,5.53
2012,지역대분류,서남권,6.53,6.85,6.96,5.73
2012,지역대분류,동남권,6.37,6.65,6.77,5.68
2012,종로구,종로구,6.52,6.99,7.19,5.39
2012,중구,중구,6.7,7.11,7.08,5.92
2012,용산구,용산구,6.06,6.61,6.85,4.68
2012,성동구,성동구,5.64,5.96,7,4.2
2012,광진구,광진구,5.87,6.62,6.61,4.33
